filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,measured,Totalorganiccarbon,percent,NA,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,measured,N,percent,NA,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,measured,C/N,NotApplicable,NA,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,measured,Caco3,percent,NA,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,measured,Uk37Prime,NotApplicable,1,Temperature,Sea Surface
MD98-2165.Levi.2007.lpd,marine sediment,measured,Uncorrected Depth,NotApplicable,NA,NA,NA
MD98-2165.Levi.2007.lpd,marine sediment,measured,D18O,per mil,2,Temperature,Sea Surface
MD98-2165.Levi.2007.lpd,marine sediment,measured,D18O,per mil,2,D18Osw,Sea Surface
MD98-2165.Levi.2007.lpd,marine sediment,measured,Mg/Ca,Mg/Ca,1,Temperature,Sea Surface
Ocn-CoralSea.Calvo.2007.lpd,coral,measured,D18O,permil,1,T,Sea Surface
Ocn-CoralSea.Calvo.2007.lpd,coral,measured,Sr/Ca,mmol/mol,1,T,Sea Surface
NAm-SylvanPassbeiCody.Briffa.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-SylvanPassbeiCody.Briffa.1996.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-SylvanPassbeiCody.Briffa.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-SylvanPassbeiCody.Briffa.1996.lpd,tree,measured,Trsgi,NA,NA,NA,NA
NAm-SylvanPassbeiCody.Briffa.1996.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-SylvanPassbeiCody.Briffa.1996.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-SylvanPassbeiCody.Briffa.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA
