filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
NAm-ConroyLake.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
Eur-LakeSilvaplana.Trachsel.2010.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
SK237-GC04.Saraswat.2013.lpd,marine sediment,inferred,Age,Calendar,Age,kyr BP,1
SK237-GC04.Saraswat.2013.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
SK237-GC04.Saraswat.2013.lpd,marine sediment,inferred,Salinity,Sea Surface,D18O,per mil VPDB,1
P178-15P.Tierney.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,mg/ca,mmol/mol,1
P178-15P.Tierney.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
P178-15P.Tierney.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
P178-15P.Tierney.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD03-2601.Kim.2012.lpd,MarineSediment,inferred,NA,NA,Age,BP,NA
MD03-2601.Kim.2012.lpd,MarineSediment,inferred,Temperature,Sea Surface,Subsurface Temperature,degC,1
GIK17940-2.Pelejero.1999.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
GIK17940-2.Pelejero.1999.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
Asi-SourthAndMiddleUrals.Demezhko.2007.lpd,borehole,inferred,Temperature,Ground Surface,Temperature,degC,1
SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,Temperature,Air,uncertainty_temperature,degC,1
SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,Temperature,Air,uncertainty_temperature,degC,1
SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,D18Osw,Ice,D18O,per mil,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD98-2165.Levi.2007.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Asi-EastChina.Wang.1990.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
NAm-HellsKitchenLake.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
Ocn-CariacoBasin.Lea.2003.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
KNR166-2JPC51.Schmidt.2012.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
Ocn-MD95-2011.Grimalt.2002.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Asi-KunashirIsland.Demezhko.2009.lpd,hybrid,inferred,Temperature,Ground Surface,Temperature,degC,1
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,inferred,D18Osw,Sea Surface,d18ocorr,per mil,2
KNR166-2-26JPC.Schmidt.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
